plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,d15feae5-4fb7-481a-9642-84d60874a690,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5229.18,688274.69,35.99,0.524071,4991836.50,261.00,7.25,721,4,"KBGR, KEUG, KJAN, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,3394af66-c0d4-418a-afdc-c73908c850c1,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6391.42,351735.49,35.99,0.355796,3118017.00,319.00,8.86,721,4,"KBGR, LIME, LFBL, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,194aa84a-eae0-4faa-ac24-9228d27e666b,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5931.39,390897.49,35.98,0.375353,3215761.50,296.00,8.23,721,4,"KBGR, KSLC, KNUW, KLBF, KIDA, KBGR",5
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,26fd7bfd-d489-4c62-9890-dab1124d1dc0,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4929.52,362324.06,35.98,0.361064,2477233.50,246.00,6.84,721,4,"KBGR, KNJW, KSDM, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,79a6831f-8e5b-4f9e-be5a-f47769f1fcd9,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5811.30,1151868.20,35.98,0.755834,9284121.00,290.00,8.06,721,2,"KMLT, 3GV, SKRG, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,1f6c1dab-4434-4d41-964f-61a30932e74d,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6011.88,477406.55,35.98,0.418597,3980739.00,300.00,8.34,721,4,"KBGR, LFMP, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,6ba1a597-5598-4e55-ac85-684df3ce2e8c,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3747.56,534430.06,35.98,0.447102,2777817.00,187.00,5.20,721,4,"KBGR, KMSO, KDLH, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,0abc30dc-30bd-404a-88c9-b1658b894d6e,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,2364.77,405744.27,35.98,0.382758,1330780.50,118.00,3.28,721,5,"KMIA, KSEA",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,f118389e-e505-42e1-95a0-32998136db4a,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,1984.02,831235.06,35.98,0.595502,2287362.00,99.00,2.75,721,4,"KBGR, KELM, TXKF, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,699ff0d9-68d0-41cc-940a-aeeca7630392,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5952.79,655872.95,35.97,0.507799,5415081.00,297.00,8.26,721,4,"KBGR, LFOB, EHGG, KBGR",3
