plane_type,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
Cargo 400M,5071468a-ba52-4e1e-9d75-02e8d29f30e8,fbo:10f9a696-2a4a-4230-af78-d57ca89be883,1866.79,2059561.38,20.62,1.132876,9289444.50,93.00,4.51,414,4,"KJAX, KLAX",1
Cargo 400M,f692461f-03d2-4fe8-bee3-722c212ba19a,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,1190.49,2025712.85,20.51,1.115416,5826723.00,59.00,2.88,414,5,"KEWR, KDFW",1
Cargo 400M,9964aa65-4f3e-4fce-9796-a9509cbbeb09,fbo:2af499c4-4ba9-489e-8547-8652feee13ea,1749.52,2013501.24,20.58,1.109659,8511205.50,87.00,4.23,414,5,"PANC, KOAK",1
Cargo 400M,3f24031a-c66c-488f-8dad-6dc278a72def,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,1316.10,2013163.43,20.44,1.108787,6401598.00,65.00,3.18,414,2,"KMIA, KMLT",1
Cargo 400M,f713f712-1650-464f-8da8-dcca18e3d5fa,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,973.05,2004526.80,20.42,1.104347,4712683.50,48.00,2.35,414,5,"KMIA, KDFW",1
Cargo 400M,f291a1ca-0786-4dce-9ee8-be93a7251997,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,168.14,1849686.76,19.69,1.023303,751453.50,8.00,0.41,414,5,"KADW, KEWR",1
Cessna Longitude,7d422644-92cc-4a8e-a760-4fb6f97db670,fbo:b2868468-2061-4c06-92db-2209025e23f7,373.64,61418.22,23.27,0.147050,47512.50,18.00,0.77,483,1,"KLRG, KEWR",1
Cessna Longitude,a2531d4e-4838-43d1-8634-aad125534e1b,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,682.29,52997.98,24.07,0.146844,74865.00,34.00,1.41,483,5,"KBGR, KEWR, KBGR",2
Cessna Longitude,cbe25d9b-34a5-4488-ab42-b6fea360f017,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,945.11,34766.44,24.02,0.137480,68029.50,47.00,1.96,483,5,"KEWR, KMIA",1
Cessna Longitude,79f03f52-f613-4fc8-8315-89f10f6f2a16,fbo:b2868468-2061-4c06-92db-2209025e23f7,1304.26,10405.36,24.07,0.125558,28098.00,65.00,2.70,483,1,"KLRG, KMIA",1
Cessna Longitude,fdc752b7-954d-4898-9d92-d86270d99bfc,fbo:b2868468-2061-4c06-92db-2209025e23f7,501.30,3085.61,24.09,0.121980,3202.50,25.00,1.04,483,1,"KLRG, KBTV, CYRQ, KLRG",3
Cessna Longitude,595556cb-053e-4fb4-845e-733c25a7af9b,fbo:b2868468-2061-4c06-92db-2209025e23f7,962.66,2307.47,24.08,0.121570,4599.00,48.00,1.99,483,1,"KLRG, CYZX, KMHT, CYRQ, CYUL, KLRG",5
Cessna Longitude,3956af93-42c7-4690-b700-8f1b5c879c39,fbo:b2868468-2061-4c06-92db-2209025e23f7,2082.99,1346.40,24.12,0.121250,5806.50,104.00,4.31,483,1,"KLRG, CYYT, CYVO, KLRG",3
Cessna Longitude,2bbe5a75-9c5a-47d2-a350-dca7b14da188,fbo:b2868468-2061-4c06-92db-2209025e23f7,3007.95,1576.44,24.09,0.121219,9817.50,150.00,6.23,483,1,"KLRG, CYFB, BGSF, KLRG",3
Cessna Longitude,b712537f-a98b-4b4d-88de-e7dccc613229,fbo:b2868468-2061-4c06-92db-2209025e23f7,2304.06,1215.01,24.11,0.121145,5796.00,115.00,4.77,483,1,"KLRG, KNHK, KDAB, KNRB, KLRG",4
Cessna Longitude,419c15f3-3713-4017-b058-41baaeb7d91b,fbo:b2868468-2061-4c06-92db-2209025e23f7,3007.95,1364.00,24.09,0.121113,8494.50,150.00,6.23,483,1,"KLRG, CYFB, BGSF, KLRG",3
Concorde,225d99e7-7169-485b-a499-bfcc7293b1c9,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3662.48,1102091.36,58.21,0.842099,3464706.00,183.00,3.14,1165,5,"KBGR, KPBI, KDFW, KBGR",3
