work_order_id,plane_id,plane_registration,plane_type,priority,job_sequence,job_id,source,departure,destination,distance_nm,flight_hours,pay,xp,pay_per_hour,xp_per_hour,balance_score,time_remaining_hours,penalty_amount,adjusted_pay_per_hour,adjusted_pay_total,speed_kts,min_airport_size,route,legs_count,accumulated_hours,is_late
4,78173f21-98bf-455e-9616-d50022cf5136,BONE-2,Rockwell B-1 Lancer,xp,5,40ce353c-f11a-4b52-8a50-e88f96a6e50c,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,3822.6303764435943,5.829998156644461,4349961.3,191.0,746134.2496381993,32.761588403302824,0.5368750668356137,134.47660882944444,0.0,746134.2496381993,4349961.3,655.6829477016103,4,KBGR -> KOGD -> KLNK -> KBGR,3,23.071557063762217,False
5,39a56011-a072-42b5-8f44-efd225ef23ac,BONE-3,Rockwell B-1 Lancer,xp,1,61e6a352-c612-4849-865a-a043e2648355,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,KMLT,KMLT,5687.477721526572,8.674127856249884,24259610.0,284.0,2796778.004894228,32.7410437921286,1.562094221407757,12.098739209166666,0.0,2796778.004894228,24259610.0,655.6829477016101,2,KMLT -> KUKI -> X35 -> KMLT,3,8.674127856249884,False
5,39a56011-a072-42b5-8f44-efd225ef23ac,BONE-3,Rockwell B-1 Lancer,xp,2,62118864-704f-4d3a-a716-fa64c9d8ad61,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,KMLT,KMLT,3942.9285377781744,6.013468173298495,15251550.0,197.0,2536231.931470297,32.75979756153627,1.4319149535428297,43.57916115111111,0.0,2536231.931470297,15251550.0,655.6829477016101,2,KMLT -> KJER -> KEMM -> KMLT,3,14.687596029548379,False
5,39a56011-a072-42b5-8f44-efd225ef23ac,BONE-3,Rockwell B-1 Lancer,xp,3,7908e067-ee1c-48e6-a332-79a493de1ff5,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,KMLT,KMLT,3383.0373172583113,5.159562756843071,12792184.0,169.0,2479315.516229329,32.75471352215983,1.4034313257254638,69.26317658416667,0.0,2479315.516229329,12792184.0,655.6829477016103,2,KMLT -> KUKF -> KRPH -> KGAG -> KMLT,4,19.84715878639145,False
5,39a56011-a072-42b5-8f44-efd225ef23ac,BONE-3,Rockwell B-1 Lancer,xp,4,7d056eaf-d0d0-4609-ae3a-98afe5376380,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,KMLT,KEWR,382.1205659474935,0.5827825281821877,1823602.0,19.0,3129129.498250694,32.60221280014125,1.7275758131260532,78.49949547916667,0.0,3129129.498250694,1823602.0,655.6829477016101,2,KMLT -> KEWR,1,20.42994131457364,False
5,39a56011-a072-42b5-8f44-efd225ef23ac,BONE-3,Rockwell B-1 Lancer,xp,5,375d832a-36cf-4aa5-94f9-4b219794af50,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,KEWR,KMSP,874.0417060306783,1.3330249156158311,2811380.5,43.0,2109023.220095776,32.25746157950457,1.2157989179454107,103.81411634861112,0.0,2109023.220095776,2811380.5,655.6829477016101,5,KEWR -> KMSP,1,21.76296623018947,False
5,39a56011-a072-42b5-8f44-efd225ef23ac,BONE-3,Rockwell B-1 Lancer,xp,6,86be7e35-ac39-4c1b-bdae-9e9748063b54,fbo:e11f0ba9-9f21-488b-9c59-8abfea9df870,KMSP,KSEA,1212.2103821212258,1.8487752142562683,2484241.5,60.0,1343722.8500487925,32.45391843060651,0.8341310171774288,91.12621764777778,0.0,1343722.8500487925,2484241.5,655.6829477016101,5,KMSP -> KSEA,1,23.611741444445737,False
6,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,1,7ee70773-bc36-4847-896b-c3524d4438c3,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,3164.737331535125,3.439377311677372,145148.0,158.0,41513.862838765606,45.18967073969304,0.24670528511784803,21.912149494444446,0.0,42201.82516968801,145148.0,920.1483421985168,4,KBGR -> MDLR -> KBGR,2,3.439377311677372,False
6,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,2,e75cf9e1-2468-40a3-9364-5a8a78505d7f,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,2248.1274511337906,5.2634654755103165,3764472.3,112.0,694091.5181200565,20.650503931041364,0.4502982787152351,38.396290567499996,0.0,715207.9399998378,3764472.3,427.11925471798116,4,KBGR -> KCEF -> KDHN -> KBGR,3,8.702842787187688,False
6,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,3,df8a7538-f3f9-450c-8d0c-55cda9a6ab54,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,2110.1783220137568,4.638172727131094,1372855.8,105.0,286274.24335673486,21.89508581488104,0.2526125507527726,60.11108814027778,0.0,295990.65855599765,1372855.8,454.9589776314759,4,KBGR -> KMGE -> KBNA -> KBGR,3,13.341015514318782,False
